date,dividend
2017-11-01,0.72
2017-12-01,0.7
2022-04-01,1.15
2022-05-02,1.2
2022-06-01,1.25
2022-08-01,1.1
2022-09-01,1.1
2022-10-03,1.0
2022-11-01,1.0
2022-12-01,0.9
2023-01-02,0.9
2023-02-01,1.0
2023-03-01,0.95
2023-04-03,0.95
2023-05-02,0.95
2023-06-01,0.95
2023-07-03,0.92
2023-08-01,0.7
2023-09-01,0.7
2023-10-02,0.7
2023-11-01,0.7
2023-12-01,0.7
2024-01-02,0.75
2024-02-01,0.8
2024-03-01,0.85
2024-04-01,0.9
2024-05-02,0.9
2024-06-03,0.9
2024-07-01,0.9
2024-08-01,0.9
2024-09-02,0.8
2024-10-01,0.8
2024-11-01,0.8
2024-12-02,0.8
2025-01-02,0.85
2025-02-03,0.85
2025-03-05,0.85
2025-04-01,0.85
2025-05-02,0.85
2025-06-02,0.85
2025-07-01,0.85
2025-08-01,0.85
2025-09-01,0.85
2025-10-01,0.85
2025-11-03,0.85
2025-12-01,0.85
2026-01-02,0.85
2026-02-02,0.85
2026-03-02,0.85
