date,dividend
2022-04-01,0.629828
2022-05-02,0.629828
2022-06-01,0.649822
2022-07-01,0.769789
2022-08-01,0.649822
2022-09-01,0.699809
2022-10-03,0.699809
2022-11-01,0.699809
2022-12-01,0.699809
2023-01-02,0.649822
2023-02-01,0.61983
2023-03-01,0.61983
2023-04-03,0.61983
2023-05-02,0.61983
2023-05-12,0.61983
2023-06-01,0.749795
2023-07-03,0.869762
2023-08-01,0.869762
2023-09-01,0.869762
2023-10-02,0.869762
2023-11-01,0.899754
2023-12-01,0.94974
2024-01-02,0.989729
2024-02-01,0.869762
2024-03-01,0.869762
2024-04-01,0.87
2024-05-02,0.87
2024-06-03,0.87
2024-07-01,0.87
2024-08-01,0.87
2024-09-02,0.87
2024-10-01,0.87
2024-11-01,0.87
2024-12-02,0.87
2025-01-02,0.87
2025-02-03,0.87
2025-03-05,0.87
2025-04-01,0.87
2025-05-02,0.87
2025-06-02,0.87
2025-07-01,1.05
2025-08-01,0.87
2025-09-01,0.87
2025-10-01,0.87
2025-11-03,0.87
2025-12-01,0.87
2026-01-02,0.87
2026-02-02,0.87
2026-03-02,0.92
